Case Name,Weapon,Rarity,Low Price,High Price
Fever Case,AWP | Printstream,Covert,45.00,398.50
Fever Case,FAMAS | Bad Trip,Covert,1.78,17.75
Fever Case,UMP-45 | K.O. Factory,Classified,3.00,21.25
Fever Case,Glock-18 | Shinobu,Classified,4.02,26.25
Fever Case,AK-47 | Searing Rage,Classified,3.74,33.00
Fever Case,Desert Eagle | Serpent Strike,Restricted,0.41,3.07
Fever Case,Zeus x27 | Tosai,Restricted,0.35,3.49
Fever Case,P90 | Wave Breaker,Restricted,0.31,3.68
Fever Case,Nova | Rising Sun,Restricted,0.30,3.80
Fever Case,Galil AR | Control,Restricted,0.38,3.42
Fever Case,XM1014 | Mockingbird,Mil-Spec,0.06,0.51
Fever Case,MP9 | Nexus,Mil-Spec,0.06,0.59
Fever Case,USP-S | PC-GRN,Mil-Spec,0.08,0.86
Fever Case,SSG 08 | Memorial,Mil-Spec,0.07,0.52
Fever Case,P2000 | Sure Grip,Mil-Spec,0.06,0.38
Fever Case,MAG-7 | Resupply,Mil-Spec,0.07,0.49
Fever Case,M4A4 | Choppa,Mil-Spec,0.06,0.74
Gallery Case,M4A1-S | Vaporwave,Covert,67.40,279.33
Gallery Case,Glock-18 | Gold Toof,Covert,9.16,60.98
Gallery Case,UMP-45 | Neo-Noir,Classified,4.78,25.71
Gallery Case,P250 | Epicenter,Classified,4.89,18.45
Gallery Case,AK-47 | The Outsiders,Classified,4.83,59.26
Gallery Case,SSG 08 | Rapid Transit,Restricted,0.80,4.84
Gallery Case,P90 | Randy Rush,Restricted,0.73,3.82
Gallery Case,MAC-10 | Saibā Oni,Restricted,0.71,4.67
Gallery Case,Dual Berettas | Hydro Strike,Restricted,0.73,4.64
Gallery Case,M4A4 | Turbine,Restricted,0.71,6.18
Gallery Case,SCAR-20 | Trail Blazer,Mil-Spec,0.11,0.69
Gallery Case,R8 Revolver | Tango,Mil-Spec,0.12,0.85
Gallery Case,M249 | Hypnosis,Mil-Spec,0.13,0.75
Gallery Case,AUG | Luxe Trim,Mil-Spec,0.12,0.85
Gallery Case,MP5-SD | Statics,Mil-Spec,0.13,0.93
Gallery Case,Desert Eagle | Calligraffiti,Mil-Spec,0.12,1.22
Gallery Case,USP-S | 027,Mil-Spec,N/A,N/A
Kilowatt Case,AK-47 | Inheritance,Covert,76.10,259.99
Kilowatt Case,AWP | Chrome Cannon,Covert,17.18,139.50
Kilowatt Case,M4A1-S | Black Lotus,Classified,10.00,25.47
Kilowatt Case,Zeus x27 | Olympus,Classified,5.22,23.38
Kilowatt Case,USP-S | Jawbreaker,Classified,5.69,27.90
Kilowatt Case,Glock-18 | Block-18,Restricted,0.78,3.10
Kilowatt Case,Sawed-Off | Analog Input,Restricted,0.73,3.14
Kilowatt Case,M4A4 | Etch Lord,Restricted,0.69,3.81
Kilowatt Case,Five-SeveN | Hybrid,Restricted,0.71,2.88
Kilowatt Case,MP7 | Just Smile,Restricted,0.70,3.11
Kilowatt Case,MAC-10 | Light Box,Mil-Spec,0.09,0.70
Kilowatt Case,SSG 08 | Dezastre,Mil-Spec,0.09,0.47
Kilowatt Case,Dual Berettas | Hideout,Mil-Spec,0.09,0.37
Kilowatt Case,UMP-45 | Motorized,Mil-Spec,0.09,0.35
Kilowatt Case,Tec-9 | Slag,Mil-Spec,0.09,0.41
Kilowatt Case,Nova | Dark Sigil,Mil-Spec,0.09,0.36
Kilowatt Case,XM1014 | Irezumi,Mil-Spec,0.09,0.35
Revolution Case,M4A4 | Temukau,Covert,7.28,135.70
Revolution Case,AK-47 | Head Shot,Covert,4.69,58.30
Revolution Case,AWP | Duality,Classified,1.91,14.98
Revolution Case,P2000 | Wicked Sick,Classified,1.34,14.16
Revolution Case,UMP-45 | Wild Child,Classified,1.40,17.32
Revolution Case,M4A1-S | Emphorosaur-S,Restricted,0.43,3.71
Revolution Case,R8 Revolver | Banana Cannon,Restricted,0.28,2.32
Revolution Case,Glock-18 | Umbral Rabbit,Restricted,0.31,2.00
Revolution Case,P90 | Neoqueen,Restricted,0.32,1.81
Revolution Case,MAC-10 | Sakkaku,Restricted,0.29,0.70
Revolution Case,MP9 | Featherweight,Mil-Spec,0.07,0.40
Revolution Case,SG 553 | Cyberforce,Mil-Spec,0.07,0.36
Revolution Case,SCAR-20 | Fragments,Mil-Spec,0.07,0.34
Revolution Case,MP5-SD | Liquidation,Mil-Spec,0.07,0.40
Revolution Case,MAG-7 | Insomnia,Mil-Spec,0.06,0.36
Revolution Case,Tec-9 | Rebel,Mil-Spec,0.07,0.36
Revolution Case,P250 | Re.built,Mil-Spec,0.06,0.36
Recoil Case,USP-S | Printstream,Covert,29.18,175.00
Recoil Case,AWP | Chromatic Aberration,Covert,6.64,18.72
Recoil Case,AK-47 | Ice Coaled,Classified,3.73,18.17
Recoil Case,P250 | Visions,Classified,2.48,12.50
Recoil Case,Sawed-Off | Kiss Love,Classified,2.58,15.66
Recoil Case,SG 553 | Dragon Tech,Restricted,0.39,2.24
Recoil Case,M249 | Downtown,Restricted,0.37,2.07
Recoil Case,Dual Berettas | Flora Carnivora,Restricted,0.35,2.46
Recoil Case,R8 Revolver | Crazy 8,Restricted,0.40,2.66
Recoil Case,P90 | Vent Push,Restricted,0.34,1.92
Recoil Case,M4A4 | Poly Mag,Mil-Spec,0.07,0.41
Recoil Case,Galil AR | Destroyer,Mil-Spec,0.07,0.34
Recoil Case,Glock-18 | Winterized,Mil-Spec,0.08,0.40
Recoil Case,FAMAS | Meow 36,Mil-Spec,0.07,0.42
Recoil Case,UMP-45 | Roadblock,Mil-Spec,0.07,0.34
Recoil Case,Negev | Drop Me,Mil-Spec,0.07,0.34
Recoil Case,MAC-10 | Monkeyflage,Mil-Spec,0.07,0.36
Dreams & Nightmares Case,AK-47 | Nightwish,Covert,5.48,104.83
Dreams & Nightmares Case,MP9 | Starlight Protector,Covert,2.15,19.61
Dreams & Nightmares Case,Dual Berettas | Melondrama,Classified,1.27,11.46
Dreams & Nightmares Case,FAMAS | Rapid Eye Movement,Classified,1.35,11.47
Dreams & Nightmares Case,MP7 | Abyssal Apparition,Classified,1.35,11.97
Dreams & Nightmares Case,M4A1-S | Night Terror,Restricted,0.48,1.99
Dreams & Nightmares Case,USP-S | Ticket to Hell,Restricted,0.27,2.13
Dreams & Nightmares Case,PP-Bizon | Space Cat,Restricted,0.28,1.96
Dreams & Nightmares Case,XM1014 | Zombie Offensive,Restricted,0.28,1.58
Dreams & Nightmares Case,G3SG1 | Dream Glade,Restricted,0.27,1.92
Dreams & Nightmares Case,SCAR-20 | Poultrygeist,Mil-Spec,0.07,0.31
Dreams & Nightmares Case,MAC-10 | Ensnared,Mil-Spec,0.06,0.47
Dreams & Nightmares Case,Five-SeveN | Scrawl,Mil-Spec,0.07,0.41
Dreams & Nightmares Case,MAG-7 | Foresight,Mil-Spec,0.07,0.35
Dreams & Nightmares Case,MP5-SD | Necro Jr.,Mil-Spec,0.06,0.34
Dreams & Nightmares Case,P2000 | Lifted Spirits,Mil-Spec,0.06,0.39
Dreams & Nightmares Case,Sawed-Off | Spirit Board,Mil-Spec,0.06,0.64
Operation Riptide Case,Desert Eagle | Ocean Drive,Covert,18.99,230.00
Operation Riptide Case,AK-47 | Leet Museo,Covert,42.92,489.99
Operation Riptide Case,Glock-18 | Snack Attack,Classified,6.58,39.99
Operation Riptide Case,MAC-10 | Toybox,Classified,7.66,43.35
Operation Riptide Case,SSG 08 | Turbo Peek,Classified,9.55,36.57
Operation Riptide Case,AUG | Plague,Mil-Spec,1.06,2.38
Operation Riptide Case,FAMAS | ZX Spectron,Restricted,1.56,10.62
Operation Riptide Case,Five-SeveN | Boost Protocol,Restricted,2.58,6.48
Operation Riptide Case,G3SG1 | Keeping Tabs,Mil-Spec,0.96,2.30
Operation Riptide Case,MP7 | Guerilla,Mil-Spec,0.96,2.87
Operation Riptide Case,MP9 | Mount Fuji,Restricted,6.06,19.28
Operation Riptide Case,PP-Bizon | Lumen,Mil-Spec,1.11,2.50
Operation Riptide Case,USP-S | Black Lotus,Mil-Spec,1.09,11.28
Operation Riptide Case,XM1014 | Watchdog,Mil-Spec,1.08,6.82
Operation Riptide Case,Dual Berettas | Tread,Mil-Spec,1.07,3.06
Operation Riptide Case,MAG-7 | BI83 Spectrum,Restricted,1.41,4.68
Operation Riptide Case,M4A4 | Spider Lily,Restricted,3.42,49.58
Snakebite Case,USP-S | The Traitor,Covert,10.18,77.00
Snakebite Case,M4A4 | In Living Color,Covert,6.22,58.00
Snakebite Case,Galil AR | Chromatic Aberration,Classified,2.23,13.62
Snakebite Case,MP9 | Food Chain,Classified,2.35,12.88
Snakebite Case,XM1014 | XOXO,Classified,1.73,12.51
Snakebite Case,AK-47 | Slate,Restricted,3.85,18.93
Snakebite Case,Desert Eagle | Trigger Discipline,Restricted,0.39,4.00
Snakebite Case,P250 | Cyber Shell,Restricted,0.35,2.00
Snakebite Case,Negev | dev_texture,Restricted,0.31,1.97
Snakebite Case,MAC-10 | Button Masher,Restricted,0.31,1.65
Snakebite Case,Glock-18 | Clear Polymer,Mil-Spec,0.20,1.57
Snakebite Case,Nova | Windblown,Mil-Spec,0.28,0.71
Snakebite Case,SG 553 | Heavy Metal,Mil-Spec,0.21,0.98
Snakebite Case,UMP-45 | Oscillator,Mil-Spec,0.23,0.65
Snakebite Case,CZ75-Auto | Circaetus,Mil-Spec,0.23,0.89
Snakebite Case,R8 Revolver | Junk Yard,Mil-Spec,0.24,0.87
Snakebite Case,M249 | O.S.I.P.R.,Mil-Spec,0.23,0.83
Operation Broken Fang Case,M4A1-S | Printstream,Covert,312.75,"1,500.00"
Operation Broken Fang Case,Glock-18 | Neo-Noir,Covert,12.85,98.94
Operation Broken Fang Case,Five-SeveN | Fairy Tale,Classified,29.99,122.59
Operation Broken Fang Case,M4A4 | Cyber Security,Classified,27.46,147.38
Operation Broken Fang Case,USP-S | Monster Mashup,Classified,29.98,104.00
Operation Broken Fang Case,AWP | Exoskeleton,Restricted,4.29,16.11
Operation Broken Fang Case,Dual Berettas | Dezastre,Restricted,3.93,13.89
Operation Broken Fang Case,UMP-45 | Gold Bismuth,Restricted,4.06,16.10
Operation Broken Fang Case,Nova | Clear Polymer,Restricted,4.14,12.10
Operation Broken Fang Case,SSG 08 | Parallax,Restricted,3.56,12.25
Operation Broken Fang Case,Galil AR | Vandal,Mil-Spec,1.06,2.53
